Data,Tipo de conteúdo,Visualizações intencionais
2024-11-14,Shorts,0
2024-11-15,Shorts,0
2024-11-16,Shorts,0
2024-11-17,Shorts,0
2024-11-18,Shorts,0
2024-11-19,Shorts,0
2024-11-20,Shorts,0
2024-11-21,Shorts,0
2024-11-22,Shorts,0
2024-11-23,Shorts,0
2024-11-24,Shorts,0
2024-11-25,Shorts,0
2024-11-26,Shorts,0
2024-11-27,Shorts,0
2024-11-28,Shorts,0
2024-11-29,Shorts,0
2024-11-30,Shorts,0
2024-12-01,Shorts,0
2024-12-02,Shorts,436
2024-12-03,Shorts,1469
2024-12-04,Shorts,2766
2024-12-05,Shorts,3684
2024-12-06,Shorts,4990
2024-12-07,Shorts,903
2024-12-08,Shorts,14
2024-12-09,Shorts,15
2024-12-10,Shorts,14
2024-12-11,Shorts,2
2024-12-12,Shorts,2
2024-12-13,Shorts,1
2024-12-14,Shorts,6
2024-12-15,Shorts,4
2024-12-16,Shorts,5
2024-12-17,Shorts,1
2024-12-18,Shorts,4
2024-12-19,Shorts,0
2024-12-20,Shorts,0
2024-12-21,Shorts,0
2024-12-22,Shorts,1
2024-12-23,Shorts,0
2024-12-24,Shorts,1
2024-12-25,Shorts,2
2024-12-26,Shorts,1
2024-12-27,Shorts,0
2024-12-28,Shorts,0
2024-12-29,Shorts,1
2024-12-30,Shorts,0
2024-12-31,Shorts,0
2025-01-01,Shorts,0
2025-01-02,Shorts,1
2025-01-03,Shorts,1
2025-01-04,Shorts,1
2025-01-05,Shorts,3
2025-01-06,Shorts,1
2025-01-07,Shorts,0
2025-01-08,Shorts,0
2025-01-09,Shorts,0
2025-01-10,Shorts,0
2025-01-11,Shorts,1
2025-01-12,Shorts,0
2025-01-13,Shorts,0
2025-01-14,Shorts,0
2025-01-15,Shorts,0
2025-01-16,Shorts,0
2025-01-17,Shorts,0
2025-01-18,Shorts,0
2025-01-19,Shorts,0
2025-01-20,Shorts,0
2025-01-21,Shorts,0
2025-01-22,Shorts,0
2025-01-23,Shorts,0
2025-01-24,Shorts,0
2025-01-25,Shorts,0
2025-01-26,Shorts,1
2025-01-27,Shorts,0
2025-01-28,Shorts,0
2025-01-29,Shorts,0
2025-01-30,Shorts,0
2025-01-31,Shorts,0
2025-02-01,Shorts,0
2025-02-02,Shorts,0
2025-02-03,Shorts,0
2025-02-04,Shorts,0
2025-02-05,Shorts,0
2025-02-06,Shorts,0
2025-02-07,Shorts,0
2025-02-08,Shorts,0
2025-02-09,Shorts,0
2025-02-10,Shorts,0
2025-02-11,Shorts,0
2025-02-12,Shorts,0
2025-02-13,Shorts,1
2025-02-14,Shorts,0
2025-02-15,Shorts,0
2025-02-16,Shorts,0
2025-02-17,Shorts,0
2025-02-18,Shorts,0
2025-02-19,Shorts,0
2025-02-20,Shorts,0
2025-02-21,Shorts,0
2025-02-22,Shorts,0
2025-02-23,Shorts,0
2025-02-24,Shorts,0
2025-02-25,Shorts,0
2025-02-26,Shorts,0
2025-02-27,Shorts,0
2025-02-28,Shorts,0
2025-03-01,Shorts,0
2025-03-02,Shorts,0
2025-03-03,Shorts,0
2025-03-04,Shorts,0
2025-03-05,Shorts,0
2025-03-06,Shorts,0
2025-03-07,Shorts,0
2025-03-08,Shorts,0
2025-03-09,Shorts,0
2025-03-10,Shorts,0
2025-03-11,Shorts,0
2025-03-12,Shorts,0
2025-03-13,Shorts,0
2025-03-14,Shorts,1
2025-03-15,Shorts,0
2025-03-16,Shorts,0
2025-03-17,Shorts,0
2025-03-18,Shorts,0
2025-03-19,Shorts,0
2025-03-20,Shorts,0
2025-03-21,Shorts,0
2025-03-22,Shorts,0
2025-03-23,Shorts,0
2025-03-24,Shorts,0
2025-03-25,Shorts,0
2025-03-26,Shorts,0
2025-03-27,Shorts,0
2025-03-28,Shorts,0
2025-03-29,Shorts,0
2025-03-30,Shorts,0
2025-03-31,Shorts,0
2025-04-01,Shorts,0
2025-04-02,Shorts,0
2025-04-03,Shorts,0
2025-04-04,Shorts,0
2025-04-05,Shorts,0
2025-04-06,Shorts,0
2025-04-07,Shorts,0
2025-04-08,Shorts,0
2025-04-09,Shorts,0
2025-04-10,Shorts,0
2025-04-11,Shorts,0
2025-04-12,Shorts,0
2025-04-13,Shorts,0
2025-04-14,Shorts,0
2025-04-15,Shorts,0
2025-04-16,Shorts,0
2025-04-17,Shorts,0
2025-04-18,Shorts,0
2025-04-19,Shorts,0
2025-04-20,Shorts,0
2025-04-21,Shorts,0
2025-04-22,Shorts,0
2025-04-23,Shorts,0
2025-04-24,Shorts,0
2025-04-25,Shorts,0
2025-04-26,Shorts,0
2025-04-27,Shorts,0
2025-04-28,Shorts,0
2025-04-29,Shorts,0
2025-04-30,Shorts,0
2025-05-01,Shorts,0
2025-05-02,Shorts,0
2025-05-03,Shorts,0
2025-05-04,Shorts,0
2025-05-05,Shorts,0
2025-05-06,Shorts,0
2025-05-07,Shorts,0
2025-05-08,Shorts,0
2025-05-09,Shorts,0
2025-05-10,Shorts,0
2025-05-11,Shorts,0
2025-05-12,Shorts,0
2025-05-13,Shorts,1
2025-05-14,Shorts,0
2025-05-15,Shorts,0
2025-05-16,Shorts,0
2025-05-17,Shorts,0
2025-05-18,Shorts,0
2025-05-19,Shorts,0
2025-05-20,Shorts,0
2025-05-21,Shorts,0
2025-05-22,Shorts,0
2025-05-23,Shorts,0
2025-05-24,Shorts,0
2025-05-25,Shorts,0
2025-05-26,Shorts,1
2025-05-27,Shorts,0
2025-05-28,Shorts,0
2025-05-29,Shorts,0
2025-05-30,Shorts,0
2025-05-31,Shorts,0
2025-06-01,Shorts,0
2025-06-02,Shorts,0
2025-06-03,Shorts,0
2025-06-04,Shorts,0
2025-06-05,Shorts,0
2025-06-06,Shorts,0
2025-06-07,Shorts,0
2025-06-08,Shorts,0
2025-06-09,Shorts,0
2025-06-10,Shorts,0
2025-06-11,Shorts,0
2025-06-12,Shorts,0
2025-06-13,Shorts,0
2025-06-14,Shorts,0
2025-06-15,Shorts,0
2025-06-16,Shorts,0
2025-06-17,Shorts,0
2025-06-18,Shorts,0
2025-06-19,Shorts,0
2025-06-20,Shorts,0
2025-06-21,Shorts,0
2025-06-22,Shorts,0
2025-06-23,Shorts,0
2025-06-24,Shorts,0
2025-06-25,Shorts,1
2025-06-26,Shorts,0
2025-06-27,Shorts,0
2025-06-28,Shorts,0
2025-06-29,Shorts,0
2025-06-30,Shorts,0
2025-07-01,Shorts,0
2025-07-02,Shorts,0
2025-07-03,Shorts,0
2025-07-04,Shorts,0
2025-07-05,Shorts,0
2025-07-06,Shorts,0
2025-07-07,Shorts,0
2025-07-08,Shorts,0
2025-07-09,Shorts,3
2025-07-10,Shorts,0
2025-07-11,Shorts,0
2025-07-12,Shorts,0
2025-07-13,Shorts,0
2025-07-14,Shorts,0
2025-07-15,Shorts,0
2025-07-16,Shorts,0
2025-07-17,Shorts,0
2025-07-18,Shorts,0
2025-07-19,Shorts,0
2025-07-20,Shorts,0
2025-07-21,Shorts,0
2025-07-22,Shorts,0
2025-07-23,Shorts,0
2025-07-24,Shorts,0
2025-07-25,Shorts,0
2025-07-26,Shorts,0
2025-07-27,Shorts,0
2025-07-28,Shorts,0
2025-07-29,Shorts,0
2025-07-30,Shorts,0
2025-07-31,Shorts,0
2025-08-01,Shorts,0
2025-08-02,Shorts,0
2025-08-03,Shorts,0
2025-08-04,Shorts,0
2025-08-05,Shorts,0
2025-08-06,Shorts,0
2025-08-07,Shorts,0
2025-08-08,Shorts,0
2025-08-09,Shorts,0
2025-08-10,Shorts,0
2025-08-11,Shorts,0
2025-08-12,Shorts,0
2025-08-13,Shorts,0
2025-08-14,Shorts,0
2025-08-15,Shorts,0
2025-08-16,Shorts,0
2025-08-17,Shorts,0
2025-08-18,Shorts,0
2025-08-19,Shorts,0
2025-08-20,Shorts,0
2025-08-21,Shorts,0
2025-08-22,Shorts,0
2025-08-23,Shorts,0
2025-08-24,Shorts,0
2025-08-25,Shorts,0
2025-08-26,Shorts,0
2025-08-27,Shorts,0
2025-08-28,Shorts,0
2025-08-29,Shorts,0
2025-08-30,Shorts,0
2025-08-31,Shorts,0
2025-09-01,Shorts,0
2025-09-02,Shorts,0
2025-09-03,Shorts,0
2025-09-04,Shorts,0
2025-09-05,Shorts,0
2025-09-06,Shorts,0
2025-09-07,Shorts,0
2025-09-08,Shorts,0
2025-09-09,Shorts,0
2025-09-10,Shorts,0
2025-09-11,Shorts,0
2025-09-12,Shorts,0
2025-09-13,Shorts,0
2025-09-14,Shorts,0
2025-09-15,Shorts,0
2025-09-16,Shorts,0
2025-09-17,Shorts,0
2025-09-18,Shorts,0
2025-09-19,Shorts,0
2025-09-20,Shorts,0
2025-09-21,Shorts,0
2025-09-22,Shorts,0
2025-09-23,Shorts,0
2025-09-24,Shorts,0
2025-09-25,Shorts,0
2025-09-26,Shorts,0
2025-09-27,Shorts,0
2025-09-28,Shorts,0
2025-09-29,Shorts,0
2025-09-30,Shorts,0
2025-10-01,Shorts,0
2025-10-02,Shorts,0
2025-10-03,Shorts,0
2025-10-04,Shorts,0
2025-10-05,Shorts,0
2025-10-06,Shorts,0
2025-10-07,Shorts,0
2025-10-08,Shorts,1153
2025-10-09,Shorts,1272
2025-10-10,Shorts,1161
2025-10-11,Shorts,2114
2025-10-12,Shorts,1193
2025-10-13,Shorts,1862
2025-10-14,Shorts,1585
2025-10-15,Shorts,3658
2025-10-16,Shorts,821
2025-10-17,Shorts,2397
2025-10-18,Shorts,4962
2025-10-19,Shorts,2802
2025-10-20,Shorts,1600
2025-10-21,Shorts,898
2025-10-22,Shorts,481
2025-10-23,Shorts,153
2025-10-24,Shorts,20
2025-10-25,Shorts,21
2025-10-26,Shorts,39
2025-10-27,Shorts,25
2025-10-28,Shorts,14
2025-10-29,Shorts,6
2025-10-30,Shorts,6
2025-10-31,Shorts,1
2025-11-01,Shorts,1
2025-11-02,Shorts,2
2025-11-03,Shorts,3
2025-11-04,Shorts,2
2025-11-05,Shorts,1
2025-11-06,Shorts,1
2025-11-07,Shorts,3
2025-11-08,Shorts,1
2025-11-09,Shorts,1
2025-11-10,Shorts,0
2025-11-11,Shorts,0
2025-11-12,Shorts,0
2025-11-13,Shorts,0
2024-11-14,Vídeos,0
2024-11-15,Vídeos,0
2024-11-16,Vídeos,0
2024-11-17,Vídeos,0
2024-11-18,Vídeos,0
2024-11-19,Vídeos,0
2024-11-20,Vídeos,0
2024-11-21,Vídeos,0
2024-11-22,Vídeos,0
2024-11-23,Vídeos,0
2024-11-24,Vídeos,0
2024-11-25,Vídeos,0
2024-11-26,Vídeos,0
2024-11-27,Vídeos,0
2024-11-28,Vídeos,0
2024-11-29,Vídeos,0
2024-11-30,Vídeos,0
2024-12-01,Vídeos,0
2024-12-02,Vídeos,0
2024-12-03,Vídeos,0
2024-12-04,Vídeos,0
2024-12-05,Vídeos,0
2024-12-06,Vídeos,0
2024-12-07,Vídeos,0
2024-12-08,Vídeos,0
2024-12-09,Vídeos,0
2024-12-10,Vídeos,0
2024-12-11,Vídeos,0
2024-12-12,Vídeos,0
2024-12-13,Vídeos,0
2024-12-14,Vídeos,0
2024-12-15,Vídeos,0
2024-12-16,Vídeos,0
2024-12-17,Vídeos,0
2024-12-18,Vídeos,0
2024-12-19,Vídeos,0
2024-12-20,Vídeos,0
2024-12-21,Vídeos,0
2024-12-22,Vídeos,0
2024-12-23,Vídeos,0
2024-12-24,Vídeos,0
2024-12-25,Vídeos,0
2024-12-26,Vídeos,0
2024-12-27,Vídeos,0
2024-12-28,Vídeos,0
2024-12-29,Vídeos,0
2024-12-30,Vídeos,0
2024-12-31,Vídeos,0
2025-01-01,Vídeos,0
2025-01-02,Vídeos,0
2025-01-03,Vídeos,0
2025-01-04,Vídeos,0
2025-01-05,Vídeos,0
2025-01-06,Vídeos,0
2025-01-07,Vídeos,0
2025-01-08,Vídeos,0
2025-01-09,Vídeos,0
2025-01-10,Vídeos,0
2025-01-11,Vídeos,0
2025-01-12,Vídeos,0
2025-01-13,Vídeos,0
2025-01-14,Vídeos,0
2025-01-15,Vídeos,0
2025-01-16,Vídeos,0
2025-01-17,Vídeos,0
2025-01-18,Vídeos,0
2025-01-19,Vídeos,0
2025-01-20,Vídeos,0
2025-01-21,Vídeos,0
2025-01-22,Vídeos,0
2025-01-23,Vídeos,0
2025-01-24,Vídeos,0
2025-01-25,Vídeos,0
2025-01-26,Vídeos,0
2025-01-27,Vídeos,0
2025-01-28,Vídeos,0
2025-01-29,Vídeos,0
2025-01-30,Vídeos,0
2025-01-31,Vídeos,0
2025-02-01,Vídeos,0
2025-02-02,Vídeos,0
2025-02-03,Vídeos,0
2025-02-04,Vídeos,0
2025-02-05,Vídeos,0
2025-02-06,Vídeos,0
2025-02-07,Vídeos,0
2025-02-08,Vídeos,0
2025-02-09,Vídeos,0
2025-02-10,Vídeos,0
2025-02-11,Vídeos,0
2025-02-12,Vídeos,0
2025-02-13,Vídeos,0
2025-02-14,Vídeos,0
2025-02-15,Vídeos,0
2025-02-16,Vídeos,0
2025-02-17,Vídeos,0
2025-02-18,Vídeos,0
2025-02-19,Vídeos,0
2025-02-20,Vídeos,0
2025-02-21,Vídeos,0
2025-02-22,Vídeos,0
2025-02-23,Vídeos,0
2025-02-24,Vídeos,0
2025-02-25,Vídeos,0
2025-02-26,Vídeos,0
2025-02-27,Vídeos,0
2025-02-28,Vídeos,0
2025-03-01,Vídeos,0
2025-03-02,Vídeos,0
2025-03-03,Vídeos,0
2025-03-04,Vídeos,0
2025-03-05,Vídeos,0
2025-03-06,Vídeos,0
2025-03-07,Vídeos,0
2025-03-08,Vídeos,0
2025-03-09,Vídeos,0
2025-03-10,Vídeos,0
2025-03-11,Vídeos,0
2025-03-12,Vídeos,0
2025-03-13,Vídeos,0
2025-03-14,Vídeos,0
2025-03-15,Vídeos,0
2025-03-16,Vídeos,0
2025-03-17,Vídeos,0
2025-03-18,Vídeos,0
2025-03-19,Vídeos,0
2025-03-20,Vídeos,0
2025-03-21,Vídeos,0
2025-03-22,Vídeos,0
2025-03-23,Vídeos,0
2025-03-24,Vídeos,0
2025-03-25,Vídeos,0
2025-03-26,Vídeos,0
2025-03-27,Vídeos,0
2025-03-28,Vídeos,0
2025-03-29,Vídeos,0
2025-03-30,Vídeos,0
2025-03-31,Vídeos,0
2025-04-01,Vídeos,0
2025-04-02,Vídeos,0
2025-04-03,Vídeos,0
2025-04-04,Vídeos,0
2025-04-05,Vídeos,0
2025-04-06,Vídeos,0
2025-04-07,Vídeos,0
2025-04-08,Vídeos,0
2025-04-09,Vídeos,0
2025-04-10,Vídeos,0
2025-04-11,Vídeos,0
2025-04-12,Vídeos,0
2025-04-13,Vídeos,0
2025-04-14,Vídeos,0
2025-04-15,Vídeos,0
2025-04-16,Vídeos,0
2025-04-17,Vídeos,0
2025-04-18,Vídeos,0
2025-04-19,Vídeos,0
2025-04-20,Vídeos,0
2025-04-21,Vídeos,0
2025-04-22,Vídeos,0
2025-04-23,Vídeos,0
2025-04-24,Vídeos,0
2025-04-25,Vídeos,0
2025-04-26,Vídeos,0
2025-04-27,Vídeos,0
2025-04-28,Vídeos,0
2025-04-29,Vídeos,0
2025-04-30,Vídeos,0
2025-05-01,Vídeos,0
2025-05-02,Vídeos,0
2025-05-03,Vídeos,0
2025-05-04,Vídeos,0
2025-05-05,Vídeos,0
2025-05-06,Vídeos,0
2025-05-07,Vídeos,0
2025-05-08,Vídeos,0
2025-05-09,Vídeos,0
2025-05-10,Vídeos,0
2025-05-11,Vídeos,0
2025-05-12,Vídeos,0
2025-05-13,Vídeos,0
2025-05-14,Vídeos,0
2025-05-15,Vídeos,0
2025-05-16,Vídeos,0
2025-05-17,Vídeos,0
2025-05-18,Vídeos,0
2025-05-19,Vídeos,0
2025-05-20,Vídeos,0
2025-05-21,Vídeos,0
2025-05-22,Vídeos,0
2025-05-23,Vídeos,0
2025-05-24,Vídeos,0
2025-05-25,Vídeos,0
2025-05-26,Vídeos,0
2025-05-27,Vídeos,0
2025-05-28,Vídeos,0
2025-05-29,Vídeos,0
2025-05-30,Vídeos,0
2025-05-31,Vídeos,0
2025-06-01,Vídeos,0
2025-06-02,Vídeos,0
2025-06-03,Vídeos,0
2025-06-04,Vídeos,0
2025-06-05,Vídeos,0
2025-06-06,Vídeos,0
2025-06-07,Vídeos,0
2025-06-08,Vídeos,0
2025-06-09,Vídeos,0
2025-06-10,Vídeos,0
2025-06-11,Vídeos,0
2025-06-12,Vídeos,0
2025-06-13,Vídeos,0
2025-06-14,Vídeos,0
2025-06-15,Vídeos,0
2025-06-16,Vídeos,0
2025-06-17,Vídeos,0
2025-06-18,Vídeos,0
2025-06-19,Vídeos,0
2025-06-20,Vídeos,0
2025-06-21,Vídeos,0
2025-06-22,Vídeos,0
2025-06-23,Vídeos,0
2025-06-24,Vídeos,0
2025-06-25,Vídeos,0
2025-06-26,Vídeos,0
2025-06-27,Vídeos,0
2025-06-28,Vídeos,0
2025-06-29,Vídeos,0
2025-06-30,Vídeos,0
2025-07-01,Vídeos,0
2025-07-02,Vídeos,0
2025-07-03,Vídeos,0
2025-07-04,Vídeos,0
2025-07-05,Vídeos,0
2025-07-06,Vídeos,0
2025-07-07,Vídeos,0
2025-07-08,Vídeos,0
2025-07-09,Vídeos,0
2025-07-10,Vídeos,0
2025-07-11,Vídeos,0
2025-07-12,Vídeos,0
2025-07-13,Vídeos,0
2025-07-14,Vídeos,0
2025-07-15,Vídeos,0
2025-07-16,Vídeos,0
2025-07-17,Vídeos,0
2025-07-18,Vídeos,0
2025-07-19,Vídeos,0
2025-07-20,Vídeos,0
2025-07-21,Vídeos,0
2025-07-22,Vídeos,0
2025-07-23,Vídeos,0
2025-07-24,Vídeos,0
2025-07-25,Vídeos,0
2025-07-26,Vídeos,0
2025-07-27,Vídeos,0
2025-07-28,Vídeos,0
2025-07-29,Vídeos,0
2025-07-30,Vídeos,0
2025-07-31,Vídeos,0
2025-08-01,Vídeos,0
2025-08-02,Vídeos,0
2025-08-03,Vídeos,0
2025-08-04,Vídeos,0
2025-08-05,Vídeos,0
2025-08-06,Vídeos,0
2025-08-07,Vídeos,0
2025-08-08,Vídeos,0
2025-08-09,Vídeos,0
2025-08-10,Vídeos,0
2025-08-11,Vídeos,0
2025-08-12,Vídeos,0
2025-08-13,Vídeos,0
2025-08-14,Vídeos,0
2025-08-15,Vídeos,0
2025-08-16,Vídeos,0
2025-08-17,Vídeos,0
2025-08-18,Vídeos,0
2025-08-19,Vídeos,0
2025-08-20,Vídeos,0
2025-08-21,Vídeos,0
2025-08-22,Vídeos,0
2025-08-23,Vídeos,0
2025-08-24,Vídeos,0
2025-08-25,Vídeos,0
2025-08-26,Vídeos,0
2025-08-27,Vídeos,0
2025-08-28,Vídeos,0
2025-08-29,Vídeos,0
2025-08-30,Vídeos,0
2025-08-31,Vídeos,0
2025-09-01,Vídeos,0
2025-09-02,Vídeos,0
2025-09-03,Vídeos,0
2025-09-04,Vídeos,0
2025-09-05,Vídeos,0
2025-09-06,Vídeos,0
2025-09-07,Vídeos,0
2025-09-08,Vídeos,0
2025-09-09,Vídeos,0
2025-09-10,Vídeos,0
2025-09-11,Vídeos,0
2025-09-12,Vídeos,0
2025-09-13,Vídeos,0
2025-09-14,Vídeos,0
2025-09-15,Vídeos,0
2025-09-16,Vídeos,0
2025-09-17,Vídeos,0
2025-09-18,Vídeos,0
2025-09-19,Vídeos,0
2025-09-20,Vídeos,0
2025-09-21,Vídeos,0
2025-09-22,Vídeos,0
2025-09-23,Vídeos,0
2025-09-24,Vídeos,0
2025-09-25,Vídeos,0
2025-09-26,Vídeos,0
2025-09-27,Vídeos,0
2025-09-28,Vídeos,0
2025-09-29,Vídeos,0
2025-09-30,Vídeos,0
2025-10-01,Vídeos,0
2025-10-02,Vídeos,0
2025-10-03,Vídeos,0
2025-10-04,Vídeos,0
2025-10-05,Vídeos,0
2025-10-06,Vídeos,0
2025-10-07,Vídeos,0
2025-10-08,Vídeos,4
2025-10-09,Vídeos,2
2025-10-10,Vídeos,2
2025-10-11,Vídeos,0
2025-10-12,Vídeos,0
2025-10-13,Vídeos,2
2025-10-14,Vídeos,1
2025-10-15,Vídeos,5
2025-10-16,Vídeos,1
2025-10-17,Vídeos,0
2025-10-18,Vídeos,2
2025-10-19,Vídeos,0
2025-10-20,Vídeos,0
2025-10-21,Vídeos,0
2025-10-22,Vídeos,0
2025-10-23,Vídeos,0
2025-10-24,Vídeos,0
2025-10-25,Vídeos,0
2025-10-26,Vídeos,0
2025-10-27,Vídeos,0
2025-10-28,Vídeos,0
2025-10-29,Vídeos,0
2025-10-30,Vídeos,0
2025-10-31,Vídeos,0
2025-11-01,Vídeos,0
2025-11-02,Vídeos,0
2025-11-03,Vídeos,0
2025-11-04,Vídeos,0
2025-11-05,Vídeos,0
2025-11-06,Vídeos,0
2025-11-07,Vídeos,0
2025-11-08,Vídeos,0
2025-11-09,Vídeos,0
2025-11-10,Vídeos,0
2025-11-11,Vídeos,0
2025-11-12,Vídeos,0
2025-11-13,Vídeos,0
