Data,Tráfego orgânico e pago,Visualizações intencionais
2024-11-14,Orgânico,0
2024-11-15,Orgânico,0
2024-11-16,Orgânico,0
2024-11-17,Orgânico,0
2024-11-18,Orgânico,0
2024-11-19,Orgânico,0
2024-11-20,Orgânico,0
2024-11-21,Orgânico,0
2024-11-22,Orgânico,0
2024-11-23,Orgânico,0
2024-11-24,Orgânico,0
2024-11-25,Orgânico,0
2024-11-26,Orgânico,0
2024-11-27,Orgânico,0
2024-11-28,Orgânico,0
2024-11-29,Orgânico,0
2024-11-30,Orgânico,0
2024-12-01,Orgânico,0
2024-12-02,Orgânico,0
2024-12-03,Orgânico,0
2024-12-04,Orgânico,0
2024-12-05,Orgânico,0
2024-12-06,Orgânico,0
2024-12-07,Orgânico,0
2024-12-08,Orgânico,0
2024-12-09,Orgânico,0
2024-12-10,Orgânico,0
2024-12-11,Orgânico,0
2024-12-12,Orgânico,0
2024-12-13,Orgânico,0
2024-12-14,Orgânico,0
2024-12-15,Orgânico,0
2024-12-16,Orgânico,0
2024-12-17,Orgânico,0
2024-12-18,Orgânico,0
2024-12-19,Orgânico,0
2024-12-20,Orgânico,0
2024-12-21,Orgânico,0
2024-12-22,Orgânico,0
2024-12-23,Orgânico,0
2024-12-24,Orgânico,0
2024-12-25,Orgânico,0
2024-12-26,Orgânico,0
2024-12-27,Orgânico,0
2024-12-28,Orgânico,0
2024-12-29,Orgânico,0
2024-12-30,Orgânico,0
2024-12-31,Orgânico,0
2025-01-01,Orgânico,0
2025-01-02,Orgânico,0
2025-01-03,Orgânico,0
2025-01-04,Orgânico,0
2025-01-05,Orgânico,0
2025-01-06,Orgânico,0
2025-01-07,Orgânico,0
2025-01-08,Orgânico,0
2025-01-09,Orgânico,0
2025-01-10,Orgânico,0
2025-01-11,Orgânico,0
2025-01-12,Orgânico,0
2025-01-13,Orgânico,0
2025-01-14,Orgânico,0
2025-01-15,Orgânico,0
2025-01-16,Orgânico,0
2025-01-17,Orgânico,0
2025-01-18,Orgânico,0
2025-01-19,Orgânico,0
2025-01-20,Orgânico,0
2025-01-21,Orgânico,0
2025-01-22,Orgânico,0
2025-01-23,Orgânico,0
2025-01-24,Orgânico,0
2025-01-25,Orgânico,0
2025-01-26,Orgânico,0
2025-01-27,Orgânico,0
2025-01-28,Orgânico,0
2025-01-29,Orgânico,0
2025-01-30,Orgânico,0
2025-01-31,Orgânico,0
2025-02-01,Orgânico,0
2025-02-02,Orgânico,0
2025-02-03,Orgânico,0
2025-02-04,Orgânico,0
2025-02-05,Orgânico,0
2025-02-06,Orgânico,0
2025-02-07,Orgânico,0
2025-02-08,Orgânico,0
2025-02-09,Orgânico,0
2025-02-10,Orgânico,0
2025-02-11,Orgânico,0
2025-02-12,Orgânico,0
2025-02-13,Orgânico,0
2025-02-14,Orgânico,0
2025-02-15,Orgânico,0
2025-02-16,Orgânico,0
2025-02-17,Orgânico,0
2025-02-18,Orgânico,0
2025-02-19,Orgânico,0
2025-02-20,Orgânico,0
2025-02-21,Orgânico,0
2025-02-22,Orgânico,0
2025-02-23,Orgânico,0
2025-02-24,Orgânico,0
2025-02-25,Orgânico,0
2025-02-26,Orgânico,0
2025-02-27,Orgânico,0
2025-02-28,Orgânico,0
2025-03-01,Orgânico,0
2025-03-02,Orgânico,0
2025-03-03,Orgânico,0
2025-03-04,Orgânico,0
2025-03-05,Orgânico,0
2025-03-06,Orgânico,0
2025-03-07,Orgânico,0
2025-03-08,Orgânico,0
2025-03-09,Orgânico,0
2025-03-10,Orgânico,0
2025-03-11,Orgânico,0
2025-03-12,Orgânico,0
2025-03-13,Orgânico,0
2025-03-14,Orgânico,0
2025-03-15,Orgânico,0
2025-03-16,Orgânico,0
2025-03-17,Orgânico,0
2025-03-18,Orgânico,0
2025-03-19,Orgânico,0
2025-03-20,Orgânico,0
2025-03-21,Orgânico,0
2025-03-22,Orgânico,0
2025-03-23,Orgânico,0
2025-03-24,Orgânico,0
2025-03-25,Orgânico,0
2025-03-26,Orgânico,0
2025-03-27,Orgânico,0
2025-03-28,Orgânico,0
2025-03-29,Orgânico,0
2025-03-30,Orgânico,0
2025-03-31,Orgânico,0
2025-04-01,Orgânico,0
2025-04-02,Orgânico,0
2025-04-03,Orgânico,0
2025-04-04,Orgânico,0
2025-04-05,Orgânico,0
2025-04-06,Orgânico,0
2025-04-07,Orgânico,0
2025-04-08,Orgânico,0
2025-04-09,Orgânico,0
2025-04-10,Orgânico,0
2025-04-11,Orgânico,0
2025-04-12,Orgânico,0
2025-04-13,Orgânico,0
2025-04-14,Orgânico,0
2025-04-15,Orgânico,0
2025-04-16,Orgânico,0
2025-04-17,Orgânico,0
2025-04-18,Orgânico,0
2025-04-19,Orgânico,0
2025-04-20,Orgânico,0
2025-04-21,Orgânico,0
2025-04-22,Orgânico,0
2025-04-23,Orgânico,0
2025-04-24,Orgânico,0
2025-04-25,Orgânico,0
2025-04-26,Orgânico,0
2025-04-27,Orgânico,0
2025-04-28,Orgânico,0
2025-04-29,Orgânico,0
2025-04-30,Orgânico,0
2025-05-01,Orgânico,0
2025-05-02,Orgânico,0
2025-05-03,Orgânico,0
2025-05-04,Orgânico,0
2025-05-05,Orgânico,0
2025-05-06,Orgânico,0
2025-05-07,Orgânico,0
2025-05-08,Orgânico,0
2025-05-09,Orgânico,0
2025-05-10,Orgânico,0
2025-05-11,Orgânico,0
2025-05-12,Orgânico,0
2025-05-13,Orgânico,0
2025-05-14,Orgânico,0
2025-05-15,Orgânico,0
2025-05-16,Orgânico,0
2025-05-17,Orgânico,0
2025-05-18,Orgânico,0
2025-05-19,Orgânico,0
2025-05-20,Orgânico,0
2025-05-21,Orgânico,0
2025-05-22,Orgânico,0
2025-05-23,Orgânico,0
2025-05-24,Orgânico,0
2025-05-25,Orgânico,0
2025-05-26,Orgânico,0
2025-05-27,Orgânico,0
2025-05-28,Orgânico,0
2025-05-29,Orgânico,0
2025-05-30,Orgânico,0
2025-05-31,Orgânico,0
2025-06-01,Orgânico,0
2025-06-02,Orgânico,0
2025-06-03,Orgânico,0
2025-06-04,Orgânico,0
2025-06-05,Orgânico,0
2025-06-06,Orgânico,0
2025-06-07,Orgânico,0
2025-06-08,Orgânico,0
2025-06-09,Orgânico,0
2025-06-10,Orgânico,0
2025-06-11,Orgânico,0
2025-06-12,Orgânico,0
2025-06-13,Orgânico,0
2025-06-14,Orgânico,0
2025-06-15,Orgânico,0
2025-06-16,Orgânico,0
2025-06-17,Orgânico,0
2025-06-18,Orgânico,0
2025-06-19,Orgânico,0
2025-06-20,Orgânico,0
2025-06-21,Orgânico,0
2025-06-22,Orgânico,0
2025-06-23,Orgânico,0
2025-06-24,Orgânico,0
2025-06-25,Orgânico,0
2025-06-26,Orgânico,0
2025-06-27,Orgânico,0
2025-06-28,Orgânico,0
2025-06-29,Orgânico,0
2025-06-30,Orgânico,0
2025-07-01,Orgânico,0
2025-07-02,Orgânico,0
2025-07-03,Orgânico,0
2025-07-04,Orgânico,0
2025-07-05,Orgânico,0
2025-07-06,Orgânico,0
2025-07-07,Orgânico,0
2025-07-08,Orgânico,0
2025-07-09,Orgânico,0
2025-07-10,Orgânico,0
2025-07-11,Orgânico,0
2025-07-12,Orgânico,0
2025-07-13,Orgânico,0
2025-07-14,Orgânico,0
2025-07-15,Orgânico,0
2025-07-16,Orgânico,0
2025-07-17,Orgânico,0
2025-07-18,Orgânico,0
2025-07-19,Orgânico,0
2025-07-20,Orgânico,0
2025-07-21,Orgânico,0
2025-07-22,Orgânico,0
2025-07-23,Orgânico,0
2025-07-24,Orgânico,0
2025-07-25,Orgânico,0
2025-07-26,Orgânico,0
2025-07-27,Orgânico,0
2025-07-28,Orgânico,0
2025-07-29,Orgânico,0
2025-07-30,Orgânico,0
2025-07-31,Orgânico,0
2025-08-01,Orgânico,0
2025-08-02,Orgânico,0
2025-08-03,Orgânico,0
2025-08-04,Orgânico,0
2025-08-05,Orgânico,0
2025-08-06,Orgânico,0
2025-08-07,Orgânico,0
2025-08-08,Orgânico,0
2025-08-09,Orgânico,0
2025-08-10,Orgânico,0
2025-08-11,Orgânico,0
2025-08-12,Orgânico,0
2025-08-13,Orgânico,0
2025-08-14,Orgânico,0
2025-08-15,Orgânico,0
2025-08-16,Orgânico,0
2025-08-17,Orgânico,0
2025-08-18,Orgânico,0
2025-08-19,Orgânico,0
2025-08-20,Orgânico,0
2025-08-21,Orgânico,0
2025-08-22,Orgânico,0
2025-08-23,Orgânico,0
2025-08-24,Orgânico,0
2025-08-25,Orgânico,0
2025-08-26,Orgânico,0
2025-08-27,Orgânico,0
2025-08-28,Orgânico,0
2025-08-29,Orgânico,0
2025-08-30,Orgânico,0
2025-08-31,Orgânico,0
2025-09-01,Orgânico,0
2025-09-02,Orgânico,0
2025-09-03,Orgânico,0
2025-09-04,Orgânico,0
2025-09-05,Orgânico,0
2025-09-06,Orgânico,0
2025-09-07,Orgânico,0
2025-09-08,Orgânico,0
2025-09-09,Orgânico,0
2025-09-10,Orgânico,0
2025-09-11,Orgânico,0
2025-09-12,Orgânico,0
2025-09-13,Orgânico,0
2025-09-14,Orgânico,0
2025-09-15,Orgânico,0
2025-09-16,Orgânico,0
2025-09-17,Orgânico,0
2025-09-18,Orgânico,0
2025-09-19,Orgânico,0
2025-09-20,Orgânico,0
2025-09-21,Orgânico,0
2025-09-22,Orgânico,0
2025-09-23,Orgânico,0
2025-09-24,Orgânico,0
2025-09-25,Orgânico,0
2025-09-26,Orgânico,0
2025-09-27,Orgânico,0
2025-09-28,Orgânico,0
2025-09-29,Orgânico,0
2025-09-30,Orgânico,0
2025-10-01,Orgânico,0
2025-10-02,Orgânico,0
2025-10-03,Orgânico,0
2025-10-04,Orgânico,0
2025-10-05,Orgânico,0
2025-10-06,Orgânico,0
2025-10-07,Orgânico,0
2025-10-08,Orgânico,1157
2025-10-09,Orgânico,1274
2025-10-10,Orgânico,1163
2025-10-11,Orgânico,2114
2025-10-12,Orgânico,1193
2025-10-13,Orgânico,1864
2025-10-14,Orgânico,1586
2025-10-15,Orgânico,3663
2025-10-16,Orgânico,822
2025-10-17,Orgânico,2397
2025-10-18,Orgânico,4964
2025-10-19,Orgânico,2802
2025-10-20,Orgânico,1600
2025-10-21,Orgânico,898
2025-10-22,Orgânico,481
2025-10-23,Orgânico,153
2025-10-24,Orgânico,20
2025-10-25,Orgânico,21
2025-10-26,Orgânico,39
2025-10-27,Orgânico,25
2025-10-28,Orgânico,14
2025-10-29,Orgânico,6
2025-10-30,Orgânico,6
2025-10-31,Orgânico,1
2025-11-01,Orgânico,1
2025-11-02,Orgânico,2
2025-11-03,Orgânico,3
2025-11-04,Orgânico,2
2025-11-05,Orgânico,1
2025-11-06,Orgânico,1
2025-11-07,Orgânico,3
2025-11-08,Orgânico,1
2025-11-09,Orgânico,1
2025-11-10,Orgânico,0
2025-11-11,Orgânico,0
2025-11-12,Orgânico,0
2025-11-13,Orgânico,0
