"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"23 de novembro","Palmeiras tem Mundial? A VERDADE QUE NINGUÉM CONTA! #Futebol #palmeiras #corinthians #neymar #flamengo ","https://www.tiktok.com/@historyandoai/video/7558980254140796172","8 de outubro","184","247","16","8996"
"23 de novembro","Corinthians não é mais o mesmo ? #futebol #Corinthians #neymar #santos #libertadores ","https://www.tiktok.com/@historyandoai/video/7561834895371160853","16 de outubro","281","41","11","8361"
"23 de novembro","Quem tem a maior torcida? #futebol #corinthians #palmeiras #saopaulo #neymar ","https://www.tiktok.com/@historyandoai/video/7561221639644417292","14 de outubro","159","38","8","8291"
"23 de novembro","Qual é a torcida mais chora ? #futebolbrasileiro #flamengo #Corinthians #palmeiras #futebol ","https://www.tiktok.com/@historyandoai/video/7562169624708549909","17 de outubro","66","14","3","4206"
"23 de novembro","Torcida Única: A 'Solução' Que Matou o Futebol? #neymar #flamengo #palmeiras #corinthians #futebol ","https://www.tiktok.com/@historyandoai/video/7560283225432608012","12 de outubro","72","14","0","2117"
"23 de novembro","Neymar no mercado #neymar #futebol #flamengo #Corinthians #palmeiras ","https://www.tiktok.com/@historyandoai/video/7562955154203381012","19 de outubro","61","0","3","1770"
"23 de novembro","Jogadores de Futebol: Escravos dos Contratos? #futebol #futebolbrasileiro #neymar #santos #flamengo #messi","https://www.tiktok.com/@historyandoai/video/7562946650826689804","19 de outubro","51","3","0","1472"
"23 de novembro","Quem é o Melhor Ponta do Mundo? #neymar #Futebol #messi #ViniJr #Mbappe  ","https://www.tiktok.com/@historyandoai/video/7559701387274112312","10 de outubro","45","16","3","1154"
"23 de novembro","MESSI X CRISTIANO Ronaldo #messi #cristianoronaldo #futebol #neymar #mbappe ","https://www.tiktok.com/@historyandoai/video/7559933532160707851","11 de outubro","40","14","0","1018"
"23 de novembro","CBF divulgou os áudios #saopaulo #palmeiras #futebol #neymar #vinijr ","https://www.tiktok.com/@historyandoai/video/7559561360284060939","10 de outubro","31","4","1","905"
"23 de novembro","VAR: O Vilão que Ninguém Pediu #VAR #futebol  #palmeiras   #flamengo  #corinthians ","https://www.tiktok.com/@historyandoai/video/7559180706459454776","9 de outubro","24","4","2","798"
"23 de novembro","Palmeiras contra Flamengo, quem é o melhor ? #flamengo #palmeiras #brasileirão #futebol #futebolbrasileiro ","https://www.tiktok.com/@historyandoai/video/7563286037523451156","20 de outubro","22","3","1","749"
"23 de novembro","Gramado Sintético: Vilão ou Desculpa Esfarrapada? #futebol #corinthians #palmeiras #flamengo #neymar ","https://www.tiktok.com/@historyandoai/video/7559340064589745419","9 de outubro","25","4","2","743"
"23 de novembro","O JOGO MAIS BIZARRO DO FUTEBOL: 149 a 0?! #FutebolCurioso #HistoriaDoFutebol #RecordesBizarros #FutebolEngracado #Madagascar ","https://www.tiktok.com/@historyandoai/video/7557746463367892280","5 de outubro","29","2","1","722"