"Date","Hour","Active followers"
"16 de novembro","0","29"
"16 de novembro","1","20"
"16 de novembro","2","15"
"16 de novembro","3","6"
"16 de novembro","4","6"
"16 de novembro","5","8"
"16 de novembro","6","10"
"16 de novembro","7","23"
"16 de novembro","8","29"
"16 de novembro","9","39"
"16 de novembro","10","44"
"16 de novembro","11","44"
"16 de novembro","12","51"
"16 de novembro","13","55"
"16 de novembro","14","51"
"16 de novembro","15","48"
"16 de novembro","16","44"
"16 de novembro","17","48"
"16 de novembro","18","48"
"16 de novembro","19","48"
"16 de novembro","20","54"
"16 de novembro","21","50"
"16 de novembro","22","40"
"16 de novembro","23","31"
"17 de novembro","0","26"
"17 de novembro","1","15"
"17 de novembro","2","8"
"17 de novembro","3","6"
"17 de novembro","4","5"
"17 de novembro","5","7"
"17 de novembro","6","17"
"17 de novembro","7","23"
"17 de novembro","8","19"
"17 de novembro","9","26"
"17 de novembro","10","32"
"17 de novembro","11","39"
"17 de novembro","12","47"
"17 de novembro","13","30"
"17 de novembro","14","30"
"17 de novembro","15","28"
"17 de novembro","16","36"
"17 de novembro","17","43"
"17 de novembro","18","50"
"17 de novembro","19","48"
"17 de novembro","20","57"
"17 de novembro","21","53"
"17 de novembro","22","45"
"17 de novembro","23","35"
"18 de novembro","0","22"
"18 de novembro","1","13"
"18 de novembro","2","9"
"18 de novembro","3","6"
"18 de novembro","4","3"
"18 de novembro","5","10"
"18 de novembro","6","21"
"18 de novembro","7","22"
"18 de novembro","8","20"
"18 de novembro","9","22"
"18 de novembro","10","26"
"18 de novembro","11","45"
"18 de novembro","12","47"
"18 de novembro","13","33"
"18 de novembro","14","33"
"18 de novembro","15","30"
"18 de novembro","16","35"
"18 de novembro","17","41"
"18 de novembro","18","49"
"18 de novembro","19","52"
"18 de novembro","20","39"
"18 de novembro","21","49"
"18 de novembro","22","42"
"18 de novembro","23","30"
"19 de novembro","0","21"
"19 de novembro","1","12"
"19 de novembro","2","9"
"19 de novembro","3","8"
"19 de novembro","4","5"
"19 de novembro","5","7"
"19 de novembro","6","15"
"19 de novembro","7","25"
"19 de novembro","8","17"
"19 de novembro","9","22"
"19 de novembro","10","31"
"19 de novembro","11","40"
"19 de novembro","12","42"
"19 de novembro","13","37"
"19 de novembro","14","39"
"19 de novembro","15","40"
"19 de novembro","16","32"
"19 de novembro","17","37"
"19 de novembro","18","50"
"19 de novembro","19","48"
"19 de novembro","20","48"
"19 de novembro","21","0"
"19 de novembro","22","0"
"19 de novembro","23","0"