"Date","Followers","Difference in followers from previous day"
"22 de novembro","6","0"
"23 de novembro","6","0"
"24 de novembro","6","0"
"25 de novembro","6","0"
"26 de novembro","6","0"
"27 de novembro","6","0"
"28 de novembro","6","0"
"29 de novembro","6","0"
"30 de novembro","6","0"
"1 de dezembro","6","0"
"2 de dezembro","6","0"
"3 de dezembro","6","0"
"4 de dezembro","6","0"
"5 de dezembro","6","0"
"6 de dezembro","6","0"
"7 de dezembro","6","0"
"8 de dezembro","6","0"
"9 de dezembro","6","0"
"10 de dezembro","6","0"
"11 de dezembro","6","0"
"12 de dezembro","6","0"
"13 de dezembro","6","0"
"14 de dezembro","6","0"
"15 de dezembro","6","0"
"16 de dezembro","6","0"
"17 de dezembro","6","0"
"18 de dezembro","6","0"
"19 de dezembro","6","0"
"20 de dezembro","6","0"
"21 de dezembro","6","0"
"22 de dezembro","6","0"
"23 de dezembro","6","0"
"24 de dezembro","6","0"
"25 de dezembro","6","0"
"26 de dezembro","6","0"
"27 de dezembro","6","0"
"28 de dezembro","6","0"
"29 de dezembro","6","0"
"30 de dezembro","6","0"
"31 de dezembro","6","0"
"1 de janeiro","6","0"
"2 de janeiro","6","0"
"3 de janeiro","6","0"
"4 de janeiro","6","0"
"5 de janeiro","6","0"
"6 de janeiro","6","0"
"7 de janeiro","6","0"
"8 de janeiro","6","0"
"9 de janeiro","6","0"
"10 de janeiro","6","0"
"11 de janeiro","6","0"
"12 de janeiro","6","0"
"13 de janeiro","6","0"
"14 de janeiro","6","0"
"15 de janeiro","6","0"
"16 de janeiro","6","0"
"17 de janeiro","6","0"
"18 de janeiro","6","0"
"19 de janeiro","6","0"
"20 de janeiro","6","0"
"21 de janeiro","6","0"
"22 de janeiro","6","0"
"23 de janeiro","6","0"
"24 de janeiro","6","0"
"25 de janeiro","6","0"
"26 de janeiro","6","0"
"27 de janeiro","6","0"
"28 de janeiro","6","0"
"29 de janeiro","6","0"
"30 de janeiro","6","0"
"31 de janeiro","6","0"
"1 de fevereiro","6","0"
"2 de fevereiro","6","0"
"3 de fevereiro","6","0"
"4 de fevereiro","6","0"
"5 de fevereiro","6","0"
"6 de fevereiro","6","0"
"7 de fevereiro","6","0"
"8 de fevereiro","6","0"
"9 de fevereiro","6","0"
"10 de fevereiro","6","0"
"11 de fevereiro","6","0"
"12 de fevereiro","6","0"
"13 de fevereiro","6","0"
"14 de fevereiro","6","0"
"15 de fevereiro","6","0"
"16 de fevereiro","6","0"
"17 de fevereiro","6","0"
"18 de fevereiro","6","0"
"19 de fevereiro","6","0"
"20 de fevereiro","6","0"
"21 de fevereiro","6","0"
"22 de fevereiro","6","0"
"23 de fevereiro","6","0"
"24 de fevereiro","6","0"
"25 de fevereiro","6","0"
"26 de fevereiro","6","0"
"27 de fevereiro","6","0"
"28 de fevereiro","6","0"
"1 de março","6","0"
"2 de março","6","0"
"3 de março","6","0"
"4 de março","6","0"
"5 de março","6","0"
"6 de março","6","0"
"7 de março","6","0"
"8 de março","6","0"
"9 de março","6","0"
"10 de março","6","0"
"11 de março","6","0"
"12 de março","6","0"
"13 de março","6","0"
"14 de março","6","0"
"15 de março","6","0"
"16 de março","6","0"
"17 de março","6","0"
"18 de março","6","0"
"19 de março","6","0"
"20 de março","6","0"
"21 de março","6","0"
"22 de março","6","0"
"23 de março","6","0"
"24 de março","6","0"
"25 de março","6","0"
"26 de março","6","0"
"27 de março","6","0"
"28 de março","6","0"
"29 de março","6","0"
"30 de março","6","0"
"31 de março","6","0"
"1 de abril","6","0"
"2 de abril","6","0"
"3 de abril","6","0"
"4 de abril","6","0"
"5 de abril","6","0"
"6 de abril","6","0"
"7 de abril","6","0"
"8 de abril","6","0"
"9 de abril","6","0"
"10 de abril","6","0"
"11 de abril","6","0"
"12 de abril","6","0"
"13 de abril","6","0"
"14 de abril","6","0"
"15 de abril","6","0"
"16 de abril","6","0"
"17 de abril","6","0"
"18 de abril","6","0"
"19 de abril","6","0"
"20 de abril","6","0"
"21 de abril","6","0"
"22 de abril","6","0"
"23 de abril","6","0"
"24 de abril","6","0"
"25 de abril","6","0"
"26 de abril","6","0"
"27 de abril","6","0"
"28 de abril","6","0"
"29 de abril","6","0"
"30 de abril","6","0"
"1 de maio","6","0"
"2 de maio","6","0"
"3 de maio","6","0"
"4 de maio","6","0"
"5 de maio","6","0"
"6 de maio","6","0"
"7 de maio","6","0"
"8 de maio","6","0"
"9 de maio","6","0"
"10 de maio","6","0"
"11 de maio","6","0"
"12 de maio","6","0"
"13 de maio","6","0"
"14 de maio","6","0"
"15 de maio","6","0"
"16 de maio","6","0"
"17 de maio","6","0"
"18 de maio","6","0"
"19 de maio","6","0"
"20 de maio","6","0"
"21 de maio","6","0"
"22 de maio","6","0"
"23 de maio","6","0"
"24 de maio","6","0"
"25 de maio","6","0"
"26 de maio","6","0"
"27 de maio","6","0"
"28 de maio","6","0"
"29 de maio","6","0"
"30 de maio","6","0"
"31 de maio","6","0"
"1 de junho","6","0"
"2 de junho","6","0"
"3 de junho","6","0"
"4 de junho","6","0"
"5 de junho","6","0"
"6 de junho","6","0"
"7 de junho","6","0"
"8 de junho","6","0"
"9 de junho","6","0"
"10 de junho","6","0"
"11 de junho","6","0"
"12 de junho","6","0"
"13 de junho","6","0"
"14 de junho","6","0"
"15 de junho","6","0"
"16 de junho","6","0"
"17 de junho","6","0"
"18 de junho","6","0"
"19 de junho","6","0"
"20 de junho","6","0"
"21 de junho","6","0"
"22 de junho","6","0"
"23 de junho","6","0"
"24 de junho","6","0"
"25 de junho","6","0"
"26 de junho","6","0"
"27 de junho","6","0"
"28 de junho","6","0"
"29 de junho","6","0"
"30 de junho","6","0"
"1 de julho","6","0"
"2 de julho","6","0"
"3 de julho","6","0"
"4 de julho","6","0"
"5 de julho","6","0"
"6 de julho","6","0"
"7 de julho","6","0"
"8 de julho","6","0"
"9 de julho","6","0"
"10 de julho","6","0"
"11 de julho","6","0"
"12 de julho","6","0"
"13 de julho","6","0"
"14 de julho","6","0"
"15 de julho","6","0"
"16 de julho","6","0"
"17 de julho","6","0"
"18 de julho","6","0"
"19 de julho","6","0"
"20 de julho","6","0"
"21 de julho","6","0"
"22 de julho","6","0"
"23 de julho","6","0"
"24 de julho","6","0"
"25 de julho","6","0"
"26 de julho","6","0"
"27 de julho","6","0"
"28 de julho","6","0"
"29 de julho","6","0"
"30 de julho","6","0"
"31 de julho","6","0"
"1 de agosto","6","0"
"2 de agosto","6","0"
"3 de agosto","6","0"
"4 de agosto","6","0"
"5 de agosto","6","0"
"6 de agosto","6","0"
"7 de agosto","6","0"
"8 de agosto","6","0"
"9 de agosto","6","0"
"10 de agosto","6","0"
"11 de agosto","6","0"
"12 de agosto","6","0"
"13 de agosto","6","0"
"14 de agosto","6","0"
"15 de agosto","6","0"
"16 de agosto","6","0"
"17 de agosto","6","0"
"18 de agosto","6","0"
"19 de agosto","6","0"
"20 de agosto","6","0"
"21 de agosto","6","0"
"22 de agosto","6","0"
"23 de agosto","6","0"
"24 de agosto","6","0"
"25 de agosto","6","0"
"26 de agosto","6","0"
"27 de agosto","6","0"
"28 de agosto","6","0"
"29 de agosto","6","0"
"30 de agosto","6","0"
"31 de agosto","6","0"
"1 de setembro","6","0"
"2 de setembro","6","0"
"3 de setembro","6","0"
"4 de setembro","6","0"
"5 de setembro","6","0"
"6 de setembro","6","0"
"7 de setembro","6","0"
"8 de setembro","6","0"
"9 de setembro","6","0"
"10 de setembro","6","0"
"11 de setembro","6","0"
"12 de setembro","6","0"
"13 de setembro","6","0"
"14 de setembro","6","0"
"15 de setembro","6","0"
"16 de setembro","6","0"
"17 de setembro","6","0"
"18 de setembro","6","0"
"19 de setembro","6","0"
"20 de setembro","6","0"
"21 de setembro","6","0"
"22 de setembro","6","0"
"23 de setembro","6","0"
"24 de setembro","6","0"
"25 de setembro","6","0"
"26 de setembro","6","0"
"27 de setembro","6","0"
"28 de setembro","6","0"
"29 de setembro","6","0"
"30 de setembro","6","3"
"1 de outubro","9","0"
"2 de outubro","9","4"
"3 de outubro","13","1"
"4 de outubro","14","2"
"5 de outubro","16","0"
"6 de outubro","16","0"
"7 de outubro","16","3"
"8 de outubro","19","9"
"9 de outubro","28","8"
"10 de outubro","36","4"
"11 de outubro","40","5"
"12 de outubro","45","1"
"13 de outubro","46","0"
"14 de outubro","46","13"
"15 de outubro","59","7"
"16 de outubro","66","9"
"17 de outubro","75","4"
"18 de outubro","79","10"
"19 de outubro","89","5"
"20 de outubro","94","5"
"21 de outubro","99","3"
"22 de outubro","102","1"
"23 de outubro","103","0"
"24 de outubro","103","4"
"25 de outubro","107","2"
"26 de outubro","109","2"
"27 de outubro","111","0"
"28 de outubro","111","0"
"29 de outubro","111","3"
"30 de outubro","114","1"
"31 de outubro","115","0"
"1 de novembro","115","0"
"2 de novembro","115","0"
"3 de novembro","115","1"
"4 de novembro","116","1"
"5 de novembro","117","2"
"6 de novembro","119","1"
"7 de novembro","120","0"
"8 de novembro","120","0"
"9 de novembro","120","0"
"10 de novembro","120","0"
"11 de novembro","120","0"
"12 de novembro","120","0"
"13 de novembro","120","0"
"14 de novembro","120","0"
"15 de novembro","120","0"
"16 de novembro","120","1"
"17 de novembro","121","0"
"18 de novembro","121","0"
"19 de novembro","121","0"
"20 de novembro","121","0"
"21 de novembro","121","0"